,Unnamed: 0,0,1,2,3,4
0,0,気圧(hPa),ジオポテンシャル高度(m),風速(m/s),風向(°),識別符
1,1,1009.6,7,3.6,20,特異点
2,2,990.4,173,6,26,
3,3,952.7,508,8,30,特異点
4,4,915.6,850,3,359,特異点
5,5,879.3,1199,8,307,特異点
6,6,844.0,1550,6,277,特異点
7,7,810.1,1901,5,275,特異点
8,8,777.4,2250,8,300,特異点
9,9,745.8,2599,12,303,
10,10,715.4,2947,12,292,
11,11,685.3,3304,10,292,
12,12,655.7,3668,11,288,
13,13,627.3,4029,12,278,
14,14,600.0,4389,14,270,
15,15,573.7,4749,13,269,
16,16,560.3,4938,13,270,
17,17,534.7,5310,14,267,特異点
18,18,509.0,5698,14,271,
19,19,483.9,6094,16,285,
20,20,459.8,6490,18,289,特異点
21,21,436.6,6889,20,284,
22,22,414.5,7284,21,279,
23,23,393.4,7678,21,278,
24,24,373.4,8067,20,276,
25,25,354.2,8457,21,273,
26,26,336.1,8841,24,272,特異点
27,27,318.6,9228,25,273,
28,28,301.9,9614,25,275,
29,29,285.6,10004,25,276,
30,30,270.1,10393,26,277,
31,31,255.0,10789,27,279,特異点
32,32,240.6,11175,26,282,
33,33,227.1,11557,26,285,
34,34,214.2,11943,27,289,
35,35,202.1,12328,27,294,特異点
36,36,191.0,12701,24,293,
37,37,180.5,13057,22,289,
38,38,170.7,13408,22,287,
39,39,161.4,13757,20,283,特異点
40,40,152.5,14103,19,286,
41,41,143.7,14464,19,292,
42,42,134.6,14856,18,290,
43,43,126.4,15230,18,289,
44,44,118.6,15604,18,293,
45,45,110.8,16000,15,294,
46,46,102.9,16424,13,294,特異点
47,47,95.9,16825,9,289,
48,48,89.5,17214,7,263,
49,49,83.6,17596,7,241,
50,50,77.6,18014,7,235,特異点
51,51,72.4,18405,4,247,特異点
52,52,67.7,18790,1,301,特異点
53,53,63.4,19173,3,22,特異点
54,54,59.5,19548,6,61,
55,55,55.8,19929,7,94,特異点
56,56,52.4,20311,6,112,特異点
57,57,49.2,20695,6,110,
58,58,46.1,21096,4,116,特異点
59,59,43.2,21502,4,92,
60,60,40.6,21896,5,84,特異点
61,61,38.1,22298,5,98,特異点
62,62,35.7,22711,6,91,
63,63,33.4,23133,7,89,
64,64,31.3,23548,7,92,
65,65,29.3,23973,7,91,特異点
66,66,27.4,24405,9,99,
67,67,25.6,24843,8,109,
68,68,23.9,25286,7,114,特異点
69,69,22.3,25736,7,108,
70,70,20.9,26156,8,107,
71,71,19.5,26606,9,98,
72,72,18.2,27063,10,97,
73,73,17.0,27515,11,96,
74,74,15.8,28000,10,89,
75,75,14.8,28438,11,87,
76,76,13.8,28910,12,85,
77,77,12.9,29364,12,80,
78,78,12.0,29853,10,76,
79,79,11.2,30320,9,66,特異点
0,0,気圧(hPa),ジオポテンシャル高度(m),風速(m/s),風向(°),識別符
1,1,1010.4,7,1.4,30,特異点
2,2,990.4,181,2,30,特異点
3,3,952.2,522,2,71,特異点
4,4,915.9,856,1,203,特異点
5,5,879.6,1202,5,218,特異点
6,6,843.6,1558,6,208,
7,7,808.5,1918,7,194,特異点
8,8,774.3,2282,4,203,特異点
9,9,741.5,2643,5,258,特異点
10,10,709.7,3008,6,277,
11,11,679.0,3373,8,288,
12,12,649.5,3738,10,290,特異点
13,13,620.8,4106,7,274,
14,14,593.1,4474,11,254,特異点
15,15,566.4,4843,15,266,
16,16,553.3,5030,15,276,
17,17,527.4,5411,16,281,特異点
18,18,502.4,5793,18,272,
19,19,477.9,6180,18,264,特異点
20,20,454.3,6572,19,263,
21,21,431.8,6961,18,271,
22,22,410.6,7344,18,280,特異点
23,23,389.7,7736,18,278,
24,24,369.6,8130,19,271,
25,25,349.6,8538,21,265,
26,26,330.2,8954,23,261,
27,27,311.2,9380,25,261,特異点
28,28,293.5,9795,25,263,
29,29,276.2,10220,26,265,
30,30,260.8,10616,27,269,
31,31,246.2,11001,28,273,
32,32,232.8,11371,29,280,
33,33,220.4,11734,30,285,特異点
34,34,208.5,12101,30,285,
35,35,197.4,12463,29,284,
36,36,186.8,12809,29,281,
37,37,176.8,13152,30,280,
38,38,167.4,13493,29,282,
39,39,158.4,13838,28,288,
40,40,149.8,14186,26,287,
41,41,141.7,14521,25,284,
42,42,133.6,14874,21,280,
43,43,126.1,15217,19,273,
44,44,118.9,15563,17,268,
45,45,112.0,15912,18,268,
46,46,104.6,16305,18,272,特異点
47,47,97.9,16682,16,275,
48,48,92.0,17036,14,278,
49,49,86.1,17410,11,282,
50,50,80.3,17802,8,281,
51,51,75.0,18186,8,284,
52,52,70.5,18538,7,283,
53,53,66.0,18923,5,279,
54,54,62.0,19290,3,280,特異点
55,55,58.2,19663,1,32,特異点
56,56,54.7,20033,3,107,特異点
57,57,51.5,20397,3,122,特異点
58,58,48.4,20777,3,106,特異点
59,59,45.4,21177,3,112,特異点
60,60,42.6,21577,3,80,
61,61,40.0,21974,5,61,特異点
62,62,37.6,22365,6,68,
63,63,35.3,22765,5,73,
64,64,33.1,23172,6,70,特異点
0,0,気圧(hPa),ジオポテンシャル高度(m),風速(m/s),風向(°),識別符
1,1,1011.4,7,3.3,50,特異点
2,2,991.1,183,6,65,特異点
3,3,951.2,537,4,48,
4,4,912.5,895,5,25,特異点
5,5,874.1,1261,5,22,特異点
6,6,836.1,1637,7,318,特異点
7,7,798.9,2020,11,294,
8,8,764.0,2393,12,280,特異点
9,9,731.7,2752,10,284,
10,10,701.0,3105,10,288,
11,11,671.0,3464,14,289,
12,12,641.6,3831,17,288,
13,13,613.0,4203,17,282,
14,14,585.4,4576,15,281,
15,15,558.8,4950,18,284,
16,16,545.8,5137,18,284,
17,17,520.6,5512,19,281,
18,18,496.4,5887,20,272,
19,19,472.7,6268,21,272,
20,20,450.1,6647,22,281,
21,21,428.1,7030,21,284,
22,22,407.5,7404,22,278,
23,23,387.1,7790,23,275,
24,24,368.1,8165,24,276,
25,25,348.8,8561,26,276,
26,26,330.8,8946,27,271,
27,27,312.6,9355,27,269,
28,28,295.3,9761,27,268,
29,29,278.5,10172,26,265,
30,30,263.2,10562,28,269,
31,31,248.9,10939,29,271,
32,32,236.0,11296,28,272,
33,33,223.8,11652,28,272,
34,34,212.1,12003,29,272,
35,35,200.8,12353,30,273,特異点
36,36,190.0,12705,29,275,
37,37,179.8,13057,27,271,
38,38,170.0,13415,26,273,
39,39,160.8,13763,28,280,
40,40,151.9,14110,26,282,特異点
41,41,143.3,14464,23,274,
42,42,134.8,14829,23,267,
43,43,126.9,15185,23,264,
44,44,119.1,15556,21,262,
45,45,111.8,15923,19,261,
46,46,104.9,16288,16,260,特異点
47,47,98.2,16664,15,259,
